role	text	intent	from	location	to
u	ciao	greeting			
b	Benvenuto! Sono BotCycle e posso darti informazioni sul servizio di bike sharing				
b	Ciao! Come posso aiutarti?				
					
u	ciao	greeting			
b	Benvenuto! Sono BotCycle e posso darti informazioni sul servizio di bike sharing				
b	Ciao! Come posso aiutarti?				
u	voglio una bici	search_bike			
b	Dove sei?				
u					
b	Ok ho la tua posizione				
b	Puoi trovare 7 bici libere alla stazione Ferrucci				
u	ciao	greeting			
b	Ciao! Come posso aiutarti?				
u	trovami una bici	search_bike			
b	Puoi trovare 2 bici libere alla stazione Ferrucci				
u	sono a torino	set_position		torino	
b	Ok ho la tua posizione				

u	Ciao	greeting			
b	Ciao! Come posso aiutarti?				
u	Trovami una bici	search_bike			
b	Puoi trovare 9 bici libere alla stazione Castello 2				
u	👍				
u	ciao	greeting			
b	Ciao! Come posso aiutarti?				
u	trovami	ask_position			
b	La tua frase non contiene un intento				
u	dove sono?	ask_position			
b	Dove sei?				
u					
b	Ok ho la tua posizione				
u	trovami una bici	search_bike			
b	Puoi trovare 5 bici libere alla stazione Bolzano				
u	sono a torino	set_position		torino	
b	Ok ho la tua posizione				
u	ciao	greeting			
b	Ciao! Come posso aiutarti?				
					
u	ciao	greeting			
b	Benvenuto! Sono BotCycle e posso darti informazioni sul servizio di bike sharing				
b	Ciao! Come posso aiutarti?				
u	trovami una bici	search_bike			
b	Dove sei?				
u					
b	Ok ho la tua posizione				
b	Impossibile trovare le informazioni. Qualcosa è andato male!				
u	sono a Torino	set_position		Torino	
b	Ok ho la tua posizione				
					
u	ciao	greeting			
b	Benvenuto! Sono BotCycle e posso darti informazioni sul servizio di bike sharing				
b	Ciao! Come posso aiutarti?				
					
u	ciao	greeting			
b	Benvenuto! Sono BotCycle e posso darti informazioni sul servizio di bike sharing				
b	Ciao! Come posso aiutarti?				
					
u	ciao	greeting			
b	Benvenuto! Sono BotCycle e posso darti informazioni sul servizio di bike sharing				
b	Ciao! Come posso aiutarti?				
u	sono in via borsellino torino	set_position		via borsellino torino	
b	Ok ho la tua posizione				
u	trovami una bici	search_bike			
b	Impossibile trovare le informazioni. Qualcosa è andato male!				
u	chi sei?	info			
b	"Sono BotCycle e posso darti informazioni sul servizio di bike sharing nella tua città.
Prova a chiedermi qualcosa! ;)"				
u	ok	end_discussion			
b	ok	end_discussion			
u	puoi lavorare a pagno?	city_supported		pagno	
u	Ciao	greeting		Ciao	
b	Ciao! Come posso aiutarti?				
u	Trovami una bici	search_bike			
b	Impossibile trovare le informazioni. Qualcosa è andato male!				
u	Funzioni a los Angeles?	city_supported		los Angeles	
b	Sì, Los Angeles, CA è supportata				
u	ciao	greeting			
b	Ciao! Come posso aiutarti?				
u	dove sono?	ask_position			
b	Dove sei?				
u	ciao	greeting			
b	Ciao! Come posso aiutarti?				
u	sono a torino	set_position		torino	
b	Ok ho la tua posizione				
u	voglio una bici	search_bike			
b	Puoi trovare 11 bici libere alla stazione Castello 2				
u	grazie	thank			
b	Prego!				
					
u	/start				
b	Benvenuto! Sono BotCycle e posso darti informazioni sul servizio di bike sharing				
					
u	/start				
b	Benvenuto! Sono BotCycle e posso darti informazioni sul servizio di bike sharing				
u	Ciao!	greeting		Ciao!	
b	Ciao! Come posso aiutarti?				
u	Vorrei una bicicletta a Torino Porta Susa	search_bike		Torino Porta Susa	
b	Puoi trovare 1 bici libere alla stazione Bolzano				
u	👍				
u	Grazie	thank		Grazie	
b	Prego!				
